simulation time,yL
10.575000,-0.000180
10.600000,0.000995
10.625000,-0.001884
10.650000,-0.000337
10.675000,-0.004767
10.700000,-0.004878
10.725000,-0.012698
10.750000,-0.014424
10.775000,-0.009164
10.800000,-0.003177
10.825000,0.004674
10.850000,0.002751
10.875000,0.001414
10.900000,-0.001289
10.925000,-0.000475
10.950000,-0.001353
10.975000,0.000821
11.000000,0.004567
11.025000,0.006247
11.050000,0.007315
11.075000,0.009033
11.100000,0.007258
11.125000,0.005114
11.150000,0.003045
11.175000,-0.000286
11.200000,0.001605
11.225000,-0.001574
11.250000,0.001371
11.275000,-0.003336
11.300000,-0.004151
11.325000,-0.013901
11.350000,-0.014908
11.375000,-0.010491
11.400000,-0.002021
11.425000,0.004949
11.450000,0.003207
11.475000,0.002703
11.500000,0.000282
11.525000,-0.000960
11.550000,-0.002404
11.575000,-0.000959
11.600000,0.003424
11.625000,0.005062
11.650000,0.006575
11.675000,0.008815
11.700000,0.007606
11.725000,0.005114
11.750000,0.002971
11.775000,-0.000514
11.800000,0.002042
11.825000,-0.001099
11.850000,0.000523
11.875000,-0.002319
11.900000,-0.003519
11.925000,-0.012631
11.950000,-0.015047
11.975000,-0.010433
12.000000,-0.002304
12.025000,0.004835
12.050000,0.002408
12.075000,0.002376
12.100000,0.000428
12.125000,-0.000869
12.150000,-0.002574
12.175000,-0.001031
12.200000,0.003511
12.225000,0.004877
12.250000,0.006612
12.275000,0.008754
12.300000,0.007347
12.325000,0.005006
12.350000,0.003350
12.375000,-0.000485
12.400000,0.001655
12.425000,-0.001780
12.450000,-0.000643
12.475000,-0.003753
12.500000,-0.003800
12.525000,-0.011984
12.550000,-0.014207
12.575000,-0.009081
12.600000,-0.002295
12.625000,0.004393
12.650000,0.002389
12.675000,0.002391
12.700000,0.000398
12.725000,-0.000588
12.750000,-0.001529
12.775000,0.000112
12.800000,0.003797
12.825000,0.005718
12.850000,0.006517
12.875000,0.008407
12.900000,0.007159
12.925000,0.004922
12.950000,0.003514
12.975000,-0.000187
13.000000,0.001890
13.025000,-0.000630
13.050000,0.002071
13.075000,-0.004926
13.100000,-0.003385
13.125000,-0.013284
13.150000,-0.014283
13.175000,-0.010739
13.200000,-0.003111
13.225000,0.005044
13.250000,0.004221
13.275000,0.003526
13.300000,0.000883
13.325000,-0.000006
13.350000,-0.002723
13.375000,-0.000975
13.400000,0.001897
13.425000,0.004877
13.450000,0.006230
13.475000,0.008737
13.500000,0.007153
13.525000,0.005324
13.550000,0.003702
13.575000,-0.000128
13.600000,0.001409
13.625000,-0.000593
13.650000,0.000597
13.675000,-0.005458
13.700000,-0.002721
13.725000,-0.014564
13.750000,-0.015021
13.775000,-0.010241
13.800000,-0.002265
13.825000,0.003932
13.850000,0.002270
13.875000,0.001794
13.900000,-0.000222
13.925000,-0.000853
13.950000,-0.001693
13.975000,-0.000031
14.000000,0.004132
14.025000,0.006207
14.050000,0.006771
14.075000,0.009043
14.100000,0.007450
14.125000,0.005192
14.150000,0.003549
14.175000,-0.000032
14.200000,0.001889
14.225000,0.005218
14.250000,0.001764
14.275000,-0.005186
14.300000,-0.003414
14.325000,-0.014381
14.350000,-0.015687
14.375000,-0.017429
14.400000,-0.004681
14.425000,0.005949
14.450000,0.002135
14.475000,0.002216
14.500000,-0.001068
14.525000,-0.001280
14.550000,-0.002373
14.575000,0.000345
14.600000,0.004132
14.625000,0.006321
14.650000,0.006276
14.675000,0.008050
14.700000,0.007415
14.725000,0.004259
14.750000,0.004637
14.775000,0.000703
14.800000,0.003338
14.825000,0.003900
14.850000,-0.000810
14.875000,-0.002869
14.900000,-0.001594
14.925000,-0.013879
14.950000,-0.014043
14.975000,-0.011045
15.000000,-0.003616
15.025000,0.006262
15.050000,0.004214
15.075000,0.003250
15.100000,0.000172
15.125000,-0.000731
15.150000,-0.002827
15.175000,-0.001446
15.200000,0.000338
15.225000,0.004675
15.250000,0.005475
15.275000,0.008493
15.300000,0.007137
15.325000,0.005624
15.350000,0.003461
15.375000,0.000405
15.400000,0.002016
15.425000,0.006029
15.450000,0.002192
15.475000,-0.005153
15.500000,-0.003590
15.525000,-0.015239
15.550000,-0.015362
15.575000,-0.017272
15.600000,-0.004618
15.625000,0.006697
15.650000,0.004309
15.675000,0.002088
15.700000,0.000467
15.725000,-0.001240
15.750000,-0.002427
15.775000,-0.001099
15.800000,0.002810
15.825000,0.005558
15.850000,0.006922
15.875000,0.008145
15.900000,0.007230
15.925000,0.004565
15.950000,0.004146
15.975000,-0.000673
16.000000,0.001838
16.025000,0.005722
16.050000,-0.000601
16.075000,-0.003171
16.100000,-0.001264
16.125000,-0.015179
16.150000,-0.015158
16.175000,-0.011975
16.200000,-0.004459
16.225000,0.006314
16.250000,0.003928
16.275000,0.003297
16.300000,0.001213
16.325000,0.000377
16.350000,-0.003218
16.375000,-0.001759
16.400000,0.000777
16.425000,0.004765
16.450000,0.005509
16.475000,0.008573
16.500000,0.007188
16.525000,0.004808
16.550000,0.003470
16.575000,-0.000486
16.600000,0.001965
16.625000,0.006243
16.650000,-0.002154
16.675000,-0.003516
16.700000,-0.001678
16.725000,-0.012823
16.750000,-0.014357
16.775000,-0.011973
16.800000,-0.005571
16.825000,0.005746
16.850000,0.003940
16.875000,0.002569
16.900000,0.000387
16.925000,0.000065
16.950000,-0.003375
16.975000,-0.001143
17.000000,0.000819
17.025000,0.004754
17.050000,0.005888
17.075000,0.008226
17.100000,0.007577
17.125000,0.005099
17.150000,0.003599
17.175000,-0.000468
17.200000,0.002035
17.225000,0.005668
17.250000,-0.002556
17.275000,-0.003495
17.300000,-0.000764
17.325000,-0.013840
17.350000,-0.015174
17.375000,-0.012042
17.400000,-0.005385
17.425000,0.006199
17.450000,0.003900
17.475000,0.003641
17.500000,0.000393
17.525000,-0.000219
17.550000,-0.002982
17.575000,-0.000579
17.600000,0.001293
17.625000,0.004540
17.650000,0.005824
17.675000,0.008405
17.700000,0.007202
17.725000,0.004309
17.750000,0.003583
17.775000,-0.000577
17.800000,0.002035
17.825000,0.005771
17.850000,-0.002603
17.875000,-0.004227
17.900000,-0.000673
17.925000,-0.012372
17.950000,-0.015029
17.975000,-0.011588
18.000000,-0.004468
18.025000,0.005929
18.050000,0.003141
18.075000,0.003365
18.100000,0.000051
18.125000,0.000022
18.150000,-0.003441
18.175000,-0.000383
18.200000,0.001247
18.225000,0.004988
18.250000,0.005912
18.275000,0.008797
18.300000,0.007174
18.325000,0.004757
18.350000,0.003904
18.375000,-0.000075
18.400000,0.001514
18.425000,0.005766
18.450000,0.000552
18.475000,-0.006658
18.500000,-0.001740
18.525000,-0.013772
18.550000,-0.015937
18.575000,-0.015060
18.600000,-0.006250
18.625000,0.005528
18.650000,0.001994
18.675000,0.001374
18.700000,-0.000755
18.725000,-0.001302
18.750000,-0.001539
18.775000,0.001350
18.800000,0.004071
18.825000,0.006852
18.850000,0.006671
18.875000,0.007584
18.900000,0.007488
18.925000,0.003814
18.950000,0.003576
18.975000,0.001046
19.000000,0.002224
19.025000,0.008324
19.050000,-0.001505
19.075000,-0.004353
19.100000,-0.001192
19.125000,-0.012450
19.150000,-0.015429
19.175000,-0.012995
19.200000,-0.006622
19.225000,0.006518
19.250000,0.002632
19.275000,0.003793
19.300000,0.000979
19.325000,-0.000459
19.350000,-0.003463
19.375000,-0.000746
19.400000,0.001543
19.425000,0.005277
19.450000,0.005968
19.475000,0.008321
19.500000,0.007467
19.525000,0.004754
19.550000,0.003254
