simulation time,steering angle
3.050000,0.000067
3.075000,0.000253
3.100000,-0.000594
3.125000,-0.001128
3.150000,-0.001250
3.175000,-0.000819
3.200000,-0.000856
3.225000,-0.000792
3.250000,0.000023
3.275000,0.000856
3.300000,0.001007
3.325000,0.001080
3.350000,0.000656
3.375000,-0.000258
3.400000,0.000433
3.425000,0.000588
3.450000,0.000564
3.475000,0.000394
3.500000,-0.002050
3.525000,-0.003806
3.550000,-0.003447
3.575000,-0.001196
3.600000,-0.000365
3.625000,0.002763
3.650000,-0.000632
3.675000,-0.000581
3.700000,-0.001149
3.725000,-0.000116
3.750000,0.000190
3.775000,0.001155
3.800000,0.002199
3.825000,0.001961
3.850000,0.001860
3.875000,0.000594
3.900000,0.000336
3.925000,0.000181
3.950000,-0.000505
3.975000,-0.001076
4.000000,0.000888
4.025000,0.001292
4.050000,0.001229
4.075000,-0.001848
4.100000,-0.002245
4.125000,-0.003437
4.150000,-0.002433
4.175000,0.000082
4.200000,0.000267
4.225000,0.000131
4.250000,-0.001379
4.275000,-0.001015
4.300000,0.000482
4.325000,0.001662
4.350000,0.002959
4.375000,0.002746
4.400000,0.002601
4.425000,0.001219
4.450000,0.001037
4.475000,0.001032
4.500000,0.000721
4.525000,-0.000054
4.550000,-0.000710
4.575000,-0.001784
4.600000,0.000435
4.625000,0.000494
4.650000,0.001084
4.675000,-0.001633
4.700000,-0.002495
4.725000,-0.004446
4.750000,-0.001497
4.775000,0.000318
4.800000,0.000831
4.825000,0.001344
4.850000,-0.000659
4.875000,-0.000274
4.900000,-0.000123
4.925000,0.000962
4.950000,0.001344
4.975000,0.001735
5.000000,0.002252
5.025000,0.001722
5.050000,0.001645
5.075000,0.001073
5.100000,0.000718
5.125000,-0.000133
5.150000,-0.000214
5.175000,-0.000782
5.200000,0.000565
5.225000,0.000661
5.250000,0.001276
5.275000,-0.001331
5.300000,-0.002188
5.325000,-0.004955
5.350000,-0.003824
5.375000,-0.001518
5.400000,0.001609
5.425000,0.002000
5.450000,0.000151
5.475000,-0.000077
5.500000,-0.000174
5.525000,0.000029
5.550000,-0.000121
5.575000,0.000727
5.600000,0.001294
5.625000,0.001417
5.650000,0.001501
5.675000,0.001433
5.700000,0.001501
5.725000,0.000925
5.750000,0.000144
5.775000,-0.000462
5.800000,0.000571
5.825000,0.000568
5.850000,0.000918
5.875000,0.000783
5.900000,-0.002040
5.925000,-0.003744
5.950000,-0.005035
5.975000,-0.003372
6.000000,-0.000402
6.025000,0.003165
6.050000,0.000321
6.075000,0.000464
6.100000,-0.000085
6.125000,0.000425
6.150000,-0.000171
6.175000,0.000921
6.200000,0.001340
6.225000,0.001730
